loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,36,2,0,1,32.63,5333.333333333333,0.006118125000000001,8.51,0,0,7,0,4338,0.48700000000000004,17
1,36,3,10,2,671.28,7500.0,0.089504,21.16,0,0,12,0,30383,0.8440000000000001,32
1,36,3,10,2,874.62,7666.666666666667,0.11408086956521739,12.44,0,2,28,0,29367,0.183,52
1,60,3,0,3,483.13,6083.333333333333,0.0794186301369863,14.01,0,1,5,0,8176,0.861,20
0,36,2,10,3,337.47,2666.6666666666665,0.12655125,24.45,0,0,18,0,18252,0.77,34
1,36,2,0,2,861.63,6250.0,0.1378608,14.64,0,0,8,0,31675,0.64,17
1,36,3,3,3,191.69,4333.333333333333,0.04423615384615385,12.48,0,0,12,0,9608,0.268,24
1,60,2,5,1,337.75,2700.0,0.1250925925925926,20.3,0,1,7,0,11275,0.7879999999999999,8
0,36,2,0,2,852.57,10000.0,0.085257,18.08,0,0,30,0,12067,0.207,56
1,60,3,6,1,140.8,5000.0,0.02816,9.9,0,0,9,0,1596,0.106,16
1,36,3,4,1,154.55,3333.3333333333335,0.046365,5.7,0,1,4,0,2240,0.17600000000000002,21
1,36,3,6,3,94.69,6250.0,0.0151504,15.18,0,1,12,0,22823,0.6629999999999999,23
1,60,3,7,1,73.68,3416.6666666666665,0.02156487804878049,5.44,0,3,7,0,3805,0.494,19
1,36,2,5,3,145.19,4166.666666666667,0.0348456,20.38,0,2,9,0,6215,0.396,20
1,36,2,1,1,106.56,3500.0,0.030445714285714288,20.91,0,3,7,0,973,0.486,14
1,36,3,7,1,233.91,6833.333333333333,0.03423073170731707,12.0,0,1,6,0,25334,0.716,31
0,60,2,4,2,408.85,3333.3333333333335,0.122655,21.48,0,0,5,0,5118,0.9840000000000001,9
1,36,2,0,1,568.81,5430.0,0.10475322283609576,14.62,1,1,9,0,11294,0.614,19
1,36,2,6,1,215.93,2300.0,0.09388260869565218,13.04,0,2,11,0,7537,0.528,20
1,36,3,10,1,130.3,7500.0,0.017373333333333334,9.57,0,0,13,0,17051,0.8140000000000001,27
0,36,2,2,3,93.31,2500.0,0.037324,20.72,0,1,7,0,1722,0.359,11
1,60,3,7,1,353.52,8833.0,0.040022642363862784,12.52,0,2,5,0,5385,0.424,15
1,36,4,7,1,186.52,3833.0,0.04866162274980433,15.91,0,1,18,0,8440,0.18600000000000003,35
1,36,2,9,1,76.26,1899.1666666666667,0.04015445370776657,17.06,0,0,3,0,8043,0.292,21
1,36,2,1,3,209.5,6666.666666666667,0.031425,18.09,0,0,6,0,17274,0.9440000000000001,17
1,36,2,1,2,472.13,3750.0,0.12590133333333334,15.89,0,0,10,0,21817,0.755,17
1,36,2,0,1,124.77,2666.6666666666665,0.046788750000000004,5.7,0,2,10,0,7549,0.142,33
1,36,3,8,1,62.09,5833.333333333333,0.010644,16.15,1,1,7,0,5742,0.563,32
1,36,3,3,3,699.4,6666.666666666667,0.10490999999999999,7.95,0,1,11,0,11147,0.369,36
1,36,3,10,2,426.1,8000.0,0.053262500000000004,11.43,0,0,7,0,6481,0.324,22
1,36,2,0,3,77.34,3791.6666666666665,0.02039736263736264,12.58,0,1,9,0,4682,0.9359999999999999,9
1,36,2,10,1,157.46,2916.6666666666665,0.05398628571428572,23.66,0,0,12,0,14480,0.5670000000000001,16
1,36,2,5,1,330.26,5250.0,0.06290666666666667,22.36,0,3,12,0,5400,0.524,27
0,36,4,1,2,262.91,2083.0,0.12621699471915507,0.34,0,1,13,0,350,0.017,15
1,36,3,2,3,158.18,5000.0,0.031636000000000004,16.64,0,0,7,0,4594,0.188,14
1,36,3,10,2,308.73,11917.0,0.025906687924813293,0.52,0,0,4,0,2248,0.132,15
1,36,2,0,1,266.89,3416.6666666666665,0.07811414634146341,13.9,0,0,7,0,9851,0.43200000000000005,18
1,36,2,10,1,552.59,4533.0,0.12190381645709245,9.13,0,1,14,0,17436,0.7190000000000001,21
1,36,2,2,3,121.67,2500.0,0.048668,20.44,0,1,16,0,8877,0.423,38
1,36,2,1,1,242.35,2666.6666666666665,0.09088125,8.93,0,0,4,0,3844,0.961,11
1,36,2,4,2,658.23,3750.0,0.17552800000000002,12.96,0,5,6,0,17898,0.423,25
0,60,3,6,2,671.01,4558.666666666667,0.1471943550745832,17.77,0,3,16,0,3425,0.184,31
1,36,2,0,3,222.28,8133.333333333333,0.027329508196721312,7.97,0,0,9,0,25060,0.9179999999999999,20
